Raspberry Pi,Jetson USB 2.0,Jetson USB 3.0
1,1,1
1,0,1
0,1,1
0,1,1
0,1,1
1,0,1
1,1,1
0,0,1
1,1,1
0,1,1
0,1,1
1,1,1
1,1,1
1,1,1
0,0,1
0,1,1
0,1,1
0,1,1
1,1,1
0,0,1
0,1,1
0,0,1
1,0,0
1,1,1
0,0,1
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
1,1,1
0,1,1
0,1,0
1,1,0
0,1,1
0,1,0
0,1,0
1,1,1
1,1,1
1,1,1
0,1,1
1,1,0
1,0,1
0,1,1
0,1,1
1,1,1
1,1,1
1,1,0
1,1,1
1,1,1
0,1,0
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,0
0,1,1
0,0,1
1,0,1
0,1,1
0,0,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
0,1,1
1,1,1
0,0,1
0,1,1
1,1,1
0,1,1
0,0,1
1,1,1
0,1,0
0,1,1
1,1,1
1,1,1
0,1,1
0,1,1
1,1,1
0,1,1
1,1,1
0,1,1
1,1,1
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,1
0,1,1
0,1,1
1,1,0
0,1,1
0,1,1
